size,method,memory,filter_type,memory_log,memory_log10,size_log,size_log10
1000,AnnSql In-Memory,161.453125,Filter1,5.084214852854683,2.2080464554053423,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter1,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,32.37890625,Filter1,3.4775071691119637,1.5102621743243243,6.907755278982137,3.0
1000,AnnData Backed,10.1953125,Filter1,2.3219280558371764,1.0084005420264315,6.907755278982137,3.0
1000,AnnSql In-Memory,93.703125,Filter2,4.540131539808838,1.9717540748538922,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter2,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,32.61328125,Filter2,3.484719605714438,1.513394495741856,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter2,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,99.828125,Filter3,4.603449957242671,1.9992529141482527,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter3,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,32.57421875,Filter3,3.483521139607423,1.5128740085248311,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter3,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,99.953125,Filter4,4.604701326090466,1.9997963767336755,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter4,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,31.99609375,Filter4,3.4656138250360398,1.5050969606207736,6.907755278982137,3.0
1000,AnnData Backed,9.5234375,Filter4,2.2537558655616543,0.9787937359705136,6.907755278982137,3.0
1000,AnnSql In-Memory,93.078125,Filter5,4.5334391942690155,1.9688476261149574,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter5,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,34.76953125,Filter5,3.548741464479369,1.5411988357246547,6.907755278982137,3.0
1000,AnnData Backed,9.44140625,Filter5,2.2451049362239206,0.9750366850958008,6.907755278982137,3.0
1000,AnnSql In-Memory,95.328125,Filter6,4.557324887792181,1.9792210510085004,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter6,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,32.625,Filter6,3.4850788656428575,1.5135505203463373,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter6,-inf,-inf,6.907755278982137,3.0
5000,AnnSql In-Memory,884.71484375,Filter1,6.7852653826350116,2.946803313927542,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.5,Filter1,5.94672865326659,2.5826314394896364,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,40.5,Filter1,3.7013019741124933,1.6074550232146685,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter1,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,743.40234375,Filter2,6.61123741060233,2.871223925976935,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.5,Filter2,5.94672865326659,2.5826314394896364,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,33.25,Filter2,3.5040547671018634,1.5217916496391235,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter2,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,711.77734375,Filter3,6.567765143052804,2.852344160064354,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.5,Filter3,5.94672865326659,2.5826314394896364,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,34.875,Filter3,3.5517702401415296,1.542514216281654,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter3,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,729.15234375,Filter4,6.5918826865135935,2.8628182761064367,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.5,Filter4,5.94672865326659,2.5826314394896364,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,34.625,Filter4,3.544575964507503,1.5393897820725049,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter4,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,717.77734375,Filter5,6.576159414757583,2.8559897459453363,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.5,Filter5,5.94672865326659,2.5826314394896364,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,35.0,Filter5,3.5553480614894135,1.5440680443502757,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter5,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,699.77734375,Filter6,6.550762204087976,2.8449598774957914,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.5,Filter6,5.94672865326659,2.5826314394896364,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,37.0,Filter6,3.6109179126442243,1.568201724066995,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter6,-inf,-inf,8.517193191416238,3.6989700043360187
10000,AnnSql In-Memory,1396.33984375,Filter1,7.241609694777008,3.144991130538746,9.210340371976184,4.0
10000,AnnData Not-Backed,383.5,Filter1,5.949339620807311,2.583765368285,9.210340371976184,4.0
10000,AnnSql On-Disk,40.75,Filter1,3.7074558396868715,1.6101276130759954,9.210340371976184,4.0
10000,AnnData Backed,0.125,Filter1,-2.0794415416798357,-0.9030899869919435,9.210340371976184,4.0
10000,AnnSql In-Memory,1175.4140625,Filter2,7.069375758119233,3.0701908822518003,9.210340371976184,4.0
