size,method,memory,filter_type,gene_id,memory_log,memory_log10,size_log,size_log10
1000,AnnSql In-Memory,234.55078125,Filter1,2732,5.457672115615221,2.370236883848937,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter1,2732,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,34.33984375,Filter1,2732,3.536306305371616,1.5357983147425687,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter1,2732,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,234.80078125,Filter2,2732,5.458737415248236,2.3706995376011286,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter2,2732,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,32.5234375,Filter2,2732,3.4819609832753584,1.512196441238909,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter2,2732,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,236.17578125,Filter3,2732,5.4645763635781694,2.373235360640937,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter3,2732,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,33.109375,Filter3,2732,3.499816474908627,1.5199509827269073,6.907755278982137,3.0
1000,AnnData Backed,7.48046875,Filter3,2732,2.012295457135184,0.873928812992792,6.907755278982137,3.0
1000,AnnSql In-Memory,232.92578125,Filter4,2732,5.450719867414796,2.3672175608186703,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter4,2732,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,34.125,Filter4,2732,3.530030253505124,1.5330726600488125,6.907755278982137,3.0
1000,AnnData Backed,7.6953125,Filter4,2732,2.0406113772524717,0.8862262608497433,6.907755278982137,3.0
1000,AnnSql In-Memory,233.17578125,Filter5,2732,5.451792595095146,2.367683440530831,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter5,2732,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,33.20703125,Filter5,2732,3.5027616381377964,1.52123005086564,6.907755278982137,3.0
1000,AnnData Backed,7.640625,Filter5,2732,2.0334794061152,0.8831288851397331,6.907755278982137,3.0
1000,AnnSql In-Memory,232.92578125,Filter6,2732,5.450719867414796,2.3672175608186703,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter6,2732,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,34.125,Filter6,2732,3.530030253505124,1.5330726600488125,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter6,2732,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,232.67578125,Filter1,9845,5.449645987753899,2.3667511808077144,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter1,9845,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,32.25,Filter1,9845,3.4735180432417816,1.5085297189712865,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter1,9845,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,232.80078125,Filter2,9845,5.450183071736531,2.3669844334176906,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter2,9845,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,32.53125,Filter2,9845,3.4822011658152423,1.5123007511906301,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter2,9845,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,235.42578125,Filter3,9845,5.461395709857224,2.371854020281085,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter3,9845,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,34.125,Filter3,9845,3.530030253505124,1.5330726600488125,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter3,9845,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,233.17578125,Filter4,9845,5.451792595095146,2.367683440530831,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter4,9845,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,34.5,Filter4,9845,3.5409593240373143,1.5378190950732742,6.907755278982137,3.0
1000,AnnData Backed,7.74609375,Filter4,9845,2.0471886840402336,0.8890827488934532,6.907755278982137,3.0
1000,AnnSql In-Memory,230.92578125,Filter5,9845,5.442096365606003,2.363472421568429,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter5,9845,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,34.25,Filter5,9845,3.5336865647082343,1.5346605758284444,6.907755278982137,3.0
1000,AnnData Backed,7.87890625,Filter5,9845,2.064189093474649,0.8964659329009159,6.907755278982137,3.0
1000,AnnSql In-Memory,233.05078125,Filter6,9845,5.4512563750980485,2.3674505631450056,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter6,9845,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
1000,AnnSql On-Disk,34.25,Filter6,9845,3.5336865647082343,1.5346605758284444,6.907755278982137,3.0
1000,AnnData Backed,7.07421875,Filter6,9845,1.9564570134038508,0.8496784850022088,6.907755278982137,3.0
1000,AnnSql In-Memory,232.80078125,Filter1,3264,5.450183071736531,2.3669844334176906,6.907755278982137,3.0
1000,AnnData Not-Backed,74.625,Filter1,3264,4.312475571712766,1.8728843441374254,6.907755278982137,3.0
