size,method,runtime,filter_type,runtime_log,runtime_log10,size_log,size_log10
1000,AnnSql In-Memory,0.0061111450195312,Filter1,-5.097641122450719,-2.2138774102034464,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0017759799957275,Filter1,-6.333402898142542,-2.7505619303333693,6.907755278982137,3.0
1000,AnnSql On-Disk,0.0257923603057861,Filter1,-3.6576769430832665,-1.5885089129658172,6.907755278982137,3.0
1000,AnnData Backed,0.0267889499664306,Filter1,-3.6197657911758236,-1.5720443088898186,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0158941745758056,Filter2,-4.141802615769242,-1.798762021161036,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0013151168823242,Filter2,-6.633829733405618,-2.88103564710378,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1434099674224853,Filter2,-1.9420478454045222,-0.8434206628512835,6.907755278982137,3.0
1000,AnnData Backed,0.0294010639190673,Filter2,-3.5267244175688837,-1.5316369537436259,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0117788314819335,Filter3,-4.4414513007609,-1.9288977915624788,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0020039081573486,Filter3,-6.212655926476097,-2.6981221868321037,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1412045955657959,Filter3,-1.9575454079526502,-0.850151168748886,6.907755278982137,3.0
1000,AnnData Backed,0.0432450771331787,Filter3,-3.140871875592955,-1.3640633239351374,6.907755278982137,3.0
1000,AnnSql In-Memory,0.017547607421875,Filter4,-4.042837667601829,-1.7557820902700874,6.907755278982137,3.0
1000,AnnData Not-Backed,0.002664566040039,Filter4,-5.927714071382023,-2.574373511501471,6.907755278982137,3.0
1000,AnnSql On-Disk,0.2108280658721923,Filter4,-1.5567123313660889,-0.6760715754230389,6.907755278982137,3.0
1000,AnnData Backed,0.0659966468811035,Filter4,-2.7181513430780857,-1.1804781292767252,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0167994499206542,Filter5,-4.086409135927184,-1.7747049385322113,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0043027400970458,Filter5,-5.448503227357522,-2.3662548862734303,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1743175983428955,Filter5,-1.7468763657301738,-0.7586587662038212,6.907755278982137,3.0
1000,AnnData Backed,0.0399684906005859,Filter5,-3.2196638702797897,-1.3982822524457799,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0158524513244628,Filter6,-4.144431132922302,-1.799903571656198,6.907755278982137,3.0
1000,AnnData Not-Backed,0.002007246017456,Filter6,-6.21099163698116,-2.697399395088163,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1349101066589355,Filter6,-2.0031465989384727,-0.869955514362245,6.907755278982137,3.0
1000,AnnData Backed,0.0155701637268066,Filter6,-4.162398777661229,-1.807706820619112,6.907755278982137,3.0
