size,method,memory,filter_type,memory_log,memory_log10,size_log,size_log10
1000,AnnSql In-Memory,298.88671875,Filter1,5.7000646345455745,2.4755066172750184,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter1,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,33.81640625,Filter1,3.5209460767362115,1.52912745220544,6.907755278982137,3.0
1000,AnnData Backed,9.2109375,Filter1,2.220391636617754,0.9643038354472208,6.907755278982137,3.0
1000,AnnSql In-Memory,232.26171875,Filter2,5.447864833902175,2.36597763551849,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter2,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,35.328125,Filter2,3.564679388918298,1.5481205883614726,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter2,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,237.26171875,Filter3,5.469163830369241,2.375227672154214,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter3,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,34.17578125,Filter3,3.531517242626702,1.533718451218964,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter3,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,242.88671875,Filter4,5.492595156662271,2.3854037678669515,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter4,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,32.47265625,Filter4,3.4803983890515258,1.5115178151900446,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter4,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,248.01171875,Filter5,5.513475998072787,2.394472202069035,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter5,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,33.875,Filter5,3.522677279199865,1.529879303882462,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter5,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,233.13671875,Filter6,5.451625057231197,2.367610679761008,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter6,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,32.69921875,Filter6,3.487351186180494,1.5145373766169483,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter6,-inf,-inf,6.907755278982137,3.0
5000,AnnSql In-Memory,877.83984375,Filter1,6.777464166688816,2.9434152888899736,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,383.25,Filter1,5.948687517751924,2.583482163526413,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,33.359375,Filter1,3.507338842303053,1.5232179053771555,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter1,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,769.86328125,Filter2,6.646212942264469,2.886413606379435,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,383.25,Filter2,5.948687517751924,2.583482163526413,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,34.71875,Filter2,3.5472798868399034,1.5405640806209617,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter2,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,749.36328125,Filter3,6.61922388762781,2.874692408878948,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,383.25,Filter3,5.948687517751924,2.583482163526413,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,32.125,Filter3,3.469634543215384,1.5068431363393509,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter3,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,712.98828125,Filter4,6.569464984444724,2.853082391800976,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,383.25,Filter4,5.948687517751924,2.583482163526413,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,34.1171875,Filter4,3.5298012895659436,1.5329732222734718,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter4,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,713.48828125,Filter5,6.570166012465262,2.853386844401955,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,383.25,Filter5,5.948687517751924,2.583482163526413,8.517193191416238,3.6989700043360187
