size,method,memory,filter_type,memory_log,memory_log10,size_log,size_log10
1000,AnnSql In-Memory,274.8046875,Filter1,5.616060618062972,2.439024136458915,6.907755278982137,3.0
1000,AnnData Not-Backed,77.125,Filter1,4.345427482225552,1.887195177041298,6.907755278982137,3.0
1000,AnnSql On-Disk,35.51953125,Filter1,3.5700827212463504,1.550467225775435,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter1,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,267.4296875,Filter2,5.588856681317533,2.4272096168443253,6.907755278982137,3.0
1000,AnnData Not-Backed,77.125,Filter2,4.345427482225552,1.887195177041298,6.907755278982137,3.0
1000,AnnSql On-Disk,34.17578125,Filter2,3.531517242626702,1.533718451218964,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter2,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,236.1796875,Filter3,5.464592903028895,2.373242543633121,6.907755278982137,3.0
1000,AnnData Not-Backed,77.125,Filter3,4.345427482225552,1.887195177041298,6.907755278982137,3.0
1000,AnnSql On-Disk,34.1484375,Filter3,3.5307168309436974,1.5333708368417842,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter3,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,228.6796875,Filter4,5.432322279856443,2.3592275900617454,6.907755278982137,3.0
1000,AnnData Not-Backed,77.125,Filter4,4.345427482225552,1.887195177041298,6.907755278982137,3.0
1000,AnnSql On-Disk,34.4921875,Filter4,3.5407328491184433,1.537720738265719,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter4,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,236.0546875,Filter5,5.464063504876042,2.373012628936607,6.907755278982137,3.0
1000,AnnData Not-Backed,77.125,Filter5,4.345427482225552,1.887195177041298,6.907755278982137,3.0
1000,AnnSql On-Disk,33.25,Filter5,3.5040547671018634,1.5217916496391235,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter5,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,224.3046875,Filter6,5.413005339658219,2.3508383495264016,6.907755278982137,3.0
1000,AnnData Not-Backed,77.125,Filter6,4.345427482225552,1.887195177041298,6.907755278982137,3.0
1000,AnnSql On-Disk,34.125,Filter6,3.530030253505124,1.5330726600488125,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter6,-inf,-inf,6.907755278982137,3.0
5000,AnnSql In-Memory,875.078125,Filter1,6.774313168086168,2.9420468275843588,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.375,Filter1,5.946401802471067,2.582489489992735,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,39.75,Filter1,3.6826098411003407,1.599337132992489,8.517193191416238,3.6989700043360187
