size,method,runtime,filter,gene_id,runtime_log,runtime_log10,size_log,size_log10
1000,AnnSql In-Memory,0.0046448707580566,Filter1,2732,-5.371991730987904,-2.333026365597945,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0017197132110595,Filter1,2732,-6.365597739815165,-2.764543972417538,6.907755278982137,3.0
1000,AnnSql On-Disk,0.0235388278961181,Filter1,2732,-3.7491039703982465,-1.6282151664255309,6.907755278982137,3.0
1000,AnnData Backed,0.0133242607116699,Filter1,2732,-4.318168791769944,-1.8753568781925185,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0102274417877197,Filter2,2732,-4.582680799917842,-1.990232983728299,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0007655620574951,Filter2,2732,-7.174900278229305,-3.1160195990410937,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1388788223266601,Filter2,2732,-1.9741535078968044,-0.8573639749095299,6.907755278982137,3.0
1000,AnnData Backed,0.0236625671386718,Filter2,2732,-3.7438609251059014,-1.6259381407866964,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0151073932647705,Filter3,2732,-4.192571034802633,-1.8208104654021897,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0009522438049316,Filter3,2732,-6.956689458343079,-3.0212518440729212,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1530053615570068,Filter3,2732,-1.8772823153474345,-0.8152933505299511,6.907755278982137,3.0
1000,AnnData Backed,0.040989875793457,Filter3,2732,-3.194430174637425,-1.3873233976702748,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0168256759643554,Filter4,2732,-4.084849228070845,-1.7740274791579256,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0013868808746337,Filter4,2732,-6.5806980284081,-2.8579608408092465,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1520929336547851,Filter4,2732,-1.8832635393445432,-0.8178909631069227,6.907755278982137,3.0
1000,AnnData Backed,0.0474011898040771,Filter4,2732,-3.0491079492443025,-1.324210757084141,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0176868438720703,Filter5,2732,-4.034934199838736,-1.7523496578326756,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0008866786956787,Filter5,2732,-7.028027878393739,-3.052233726248619,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1528296470642089,Filter5,2732,-1.8784313957808638,-0.8157923898214524,6.907755278982137,3.0
1000,AnnData Backed,0.0476858615875244,Filter5,2732,-3.043120327801093,-1.3216103661316296,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0193476676940917,Filter6,2732,-3.9451833993760648,-1.7133713804453379,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0024359226226806,Filter6,2732,-6.0174296937274,-2.613336511226584,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1519784927368164,Filter6,2732,-1.8840162632997677,-0.8182178669670731,6.907755278982137,3.0
1000,AnnData Backed,0.0196714401245117,Filter6,2732,-3.928587435000313,-1.7061638446950858,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0181736946105957,Filter1,9845,-4.007780081492967,-1.7405567740741608,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0015218257904052,Filter1,9845,-6.487844487062787,-2.817635060177802,6.907755278982137,3.0
1000,AnnSql On-Disk,0.191878080368042,Filter1,9845,-1.6508951067341422,-0.7169746350557179,6.907755278982137,3.0
1000,AnnData Backed,0.0153949260711669,Filter1,9845,-4.1737172997499155,-1.8126223923055287,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0187931060791015,Filter2,9845,-3.9742651743164896,-1.7260014348259167,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0008277893066406,Filter2,9845,-7.096751896538586,-3.082080188103145,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1521577835083007,Filter2,9845,-1.8828372471398618,-0.8177058267547512,6.907755278982137,3.0
1000,AnnData Backed,0.0274829864501953,Filter2,9845,-3.594188140306027,-1.5609360762570184,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0194611549377441,Filter3,9845,-3.939334854666566,-1.7108313897508383,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0015110969543457,Filter3,9845,-6.494919432067933,-2.8207076697533053,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1429150104522705,Filter3,9845,-1.945505157909406,-0.8449221545943696,6.907755278982137,3.0
1000,AnnData Backed,0.0390346050262451,Filter3,9845,-3.24330671791259,-1.4085502107091843,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0154762268066406,Filter4,9845,-4.16845018687257,-1.810334914247336,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0013346672058105,Filter4,9845,-6.619073302243433,-2.874627010477458,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1448323726654052,Filter4,9845,-1.9321782558869003,-0.8391343545851301,6.907755278982137,3.0
1000,AnnData Backed,0.0474250316619873,Filter4,9845,-3.048605095538988,-1.3239923704947183,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0192902088165283,Filter5,9845,-3.9481576270049827,-1.714663071092501,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0012900829315185,Filter5,9845,-6.653048774676104,-2.889382370675023,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1515717506408691,Filter5,9845,-1.8866961645566542,-0.8193817332949845,6.907755278982137,3.0
1000,AnnData Backed,0.0475020408630371,Filter5,9845,-3.0469826033269105,-1.3232877310800821,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0205850601196289,Filter6,9845,-3.8831897032093288,-1.6864478602873376,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0013594627380371,Filter6,9845,-6.600665702846186,-2.8666326916341482,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1548731327056884,Filter6,9845,-1.8651489958888012,-0.8100239168418973,6.907755278982137,3.0
1000,AnnData Backed,0.0149664878845214,Filter6,9845,-4.201941718328302,-1.8248801015490497,6.907755278982137,3.0
1000,AnnSql In-Memory,0.012709617614746,Filter1,3264,-4.365396279619187,-1.8958675155595976,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0006477832794189,Filter1,3264,-7.341954362892519,-3.1885702661897257,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1445951461791992,Filter1,3264,-1.9338175370463198,-0.8398462853469539,6.907755278982137,3.0
1000,AnnData Backed,0.009425401687622,Filter1,3264,-4.664346927179903,-2.025700132156621,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0154156684875488,Filter2,3264,-4.172370852541565,-1.8120376377127683,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0006494522094726,Filter2,3264,-7.33938130504948,-3.1874528013668764,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1642549037933349,Filter2,3264,-1.8063357663959052,-0.784481655810223,6.907755278982137,3.0
1000,AnnData Backed,0.0279810428619384,Filter2,3264,-3.5762280387475087,-1.5531361032557316,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0133173465728759,Filter3,3264,-4.318687839954641,-1.8755822979549743,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0009999275207519,Filter3,3264,-6.907827760856985,-3.0000314784782844,6.907755278982137,3.0
1000,AnnSql On-Disk,0.149146556854248,Filter3,3264,-1.9028258534085423,-0.8263867681581759,6.907755278982137,3.0
1000,AnnData Backed,0.037393569946289,Filter3,3264,-3.2862565159125303,-1.427203070979418,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0195097923278808,Filter4,3264,-3.9368387687973723,-1.7097473534314906,6.907755278982137,3.0
1000,AnnData Not-Backed,0.001129150390625,Filter4,3264,-6.786289795754955,-2.947248210892723,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1487669944763183,Filter4,3264,-1.9053739925019788,-0.8274934109055773,6.907755278982137,3.0
1000,AnnData Backed,0.0476214885711669,Filter4,3264,-3.0444711790426666,-1.3221970333717172,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0195748805999755,Filter5,3264,-3.933508136741983,-1.708300878308585,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0015037059783935,Filter5,3264,-6.499822565655182,-2.8228370736142825,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1544797420501709,Filter5,3264,-1.8676923106576087,-0.8111284644117334,6.907755278982137,3.0
1000,AnnData Backed,0.0463752746582031,Filter5,3264,-3.070988835523222,-1.3337135052542284,6.907755278982137,3.0
