size,method,runtime,filter,gene_id,runtime_log,runtime_log10,size_log,size_log10
1000,Seurat,0.0269999999999997,Filter1,2732,-3.61191841297782,-1.56863623584102,6.90775527898214,3
1000,Seurat,0.012,Filter2,2732,-4.42284862919414,-1.92081875395237,6.90775527898214,3
1000,Seurat,0.00200000000000022,Filter3,2732,-6.21460809842208,-2.69897000433597,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter4,2732,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.0140000000000002,Filter5,2732,-4.26869794936686,-1.85387196432175,6.90775527898214,3
1000,Seurat,0.00300000000000011,Filter6,2732,-5.80914299031399,-2.52287874528032,6.90775527898214,3
1000,Seurat,0.028,Filter1,9845,-3.57555076880693,-1.55284196865778,6.90775527898214,3
1000,Seurat,0.0130000000000003,Filter2,9845,-4.34280592152057,-1.88605664769315,6.90775527898214,3
1000,Seurat,0.00099999999999989,Filter3,9845,-6.90775527898225,-3.00000000000005,6.90775527898214,3
1000,Seurat,0.00200000000000022,Filter4,9845,-6.21460809842208,-2.69897000433597,6.90775527898214,3
1000,Seurat,0,Filter5,9845,-Inf,-Inf,6.90775527898214,3
1000,Seurat,0.004,Filter6,9845,-5.52146091786225,-2.39794000867204,6.90775527898214,3
1000,Seurat,0.0109999999999997,Filter1,3264,-4.5098600061838,-1.95860731484179,6.90775527898214,3
1000,Seurat,0.0110000000000001,Filter2,3264,-4.50986000618376,-1.95860731484177,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter3,3264,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter4,3264,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.0110000000000001,Filter5,3264,-4.50986000618376,-1.95860731484177,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter6,3264,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.0250000000000004,Filter1,4859,-3.68887945411392,-1.60205999132796,6.90775527898214,3
1000,Seurat,0.0230000000000006,Filter2,4859,-3.77226106305296,-1.6382721639824,6.90775527898214,3
1000,Seurat,0.00200000000000067,Filter3,4859,-6.21460809842186,-2.69897000433587,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter4,4859,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.0109999999999992,Filter5,4859,-4.50986000618384,-1.95860731484181,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter6,4859,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter1,9225,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.000999999999999446,Filter2,9225,-6.90775527898269,-3.00000000000024,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter3,9225,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter4,9225,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.00100000000000033,Filter5,9225,-6.9077552789818,-2.99999999999985,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter6,9225,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.0140000000000002,Filter1,7891,-4.26869794936686,-1.85387196432175,6.90775527898214,3
1000,Seurat,0.0150000000000006,Filter2,7891,-4.19970507787989,-1.8239087409443,6.90775527898214,3
1000,Seurat,0.00200000000000067,Filter3,7891,-6.21460809842186,-2.69897000433587,6.90775527898214,3
1000,Seurat,0.000999999999999446,Filter4,7891,-6.90775527898269,-3.00000000000024,6.90775527898214,3
1000,Seurat,0.0120000000000005,Filter5,7891,-4.4228486291941,-1.92081875395236,6.90775527898214,3
1000,Seurat,0.00199999999999978,Filter6,7891,-6.2146080984223,-2.69897000433607,6.90775527898214,3
1000,Seurat,0.0109999999999992,Filter1,4373,-4.50986000618384,-1.95860731484181,6.90775527898214,3
1000,Seurat,0.016,Filter2,4373,-4.13516655674236,-1.79588001734407,6.90775527898214,3
1000,Seurat,0.00300000000000011,Filter3,4373,-5.80914299031399,-2.52287874528032,6.90775527898214,3
1000,Seurat,0.00199999999999889,Filter4,4373,-6.21460809842275,-2.69897000433626,6.90775527898214,3
1000,Seurat,0.00100000000000122,Filter5,4373,-6.90775527898091,-2.99999999999947,6.90775527898214,3
1000,Seurat,0.00199999999999889,Filter6,4373,-6.21460809842275,-2.69897000433626,6.90775527898214,3
1000,Seurat,0.0139999999999993,Filter1,5874,-4.26869794936693,-1.85387196432178,6.90775527898214,3
1000,Seurat,0.0109999999999992,Filter2,5874,-4.50986000618384,-1.95860731484181,6.90775527898214,3
1000,Seurat,0.00200000000000067,Filter3,5874,-6.21460809842186,-2.69897000433587,6.90775527898214,3
1000,Seurat,0.000999999999999446,Filter4,5874,-6.90775527898269,-3.00000000000024,6.90775527898214,3
1000,Seurat,0.00200000000000067,Filter5,5874,-6.21460809842186,-2.69897000433587,6.90775527898214,3
1000,Seurat,0.00200000000000067,Filter6,5874,-6.21460809842186,-2.69897000433587,6.90775527898214,3
1000,Seurat,0.00300000000000011,Filter1,6744,-5.80914299031399,-2.52287874528032,6.90775527898214,3
1000,Seurat,0.00200000000000067,Filter2,6744,-6.21460809842186,-2.69897000433587,6.90775527898214,3
1000,Seurat,0.00200000000000067,Filter3,6744,-6.21460809842186,-2.69897000433587,6.90775527898214,3
