size,method,memory,filter_type,memory_log,memory_log10,size_log,size_log10
1000,AnnSql In-Memory,123.46875,Filter1,4.8159880876116645,2.0915570513615402,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter1,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,43.375,Filter1,3.769883238267023,1.63723948779893,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter1,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,98.84375,Filter2,4.593540320505922,1.994949213595817,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter2,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,40.25,Filter2,3.6951100038645723,1.6047658847038873,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter2,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,114.09375,Filter3,4.737020478855911,2.0572618546298216,6.907755278982137,3.0
1000,AnnData Not-Backed,101.046875,Filter3,4.615584518086921,2.0045228869632297,6.907755278982137,3.0
1000,AnnSql On-Disk,39.375,Filter3,3.6731310971457973,1.595220566797657,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter3,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,112.21875,Filter4,4.720450091426356,2.0500654268061673,6.907755278982137,3.0
1000,AnnData Not-Backed,102.41015625,Filter4,4.628985889816091,2.0103430287551425,6.907755278982137,3.0
1000,AnnSql On-Disk,38.0,Filter4,3.6375861597263857,1.5797835966168101,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter4,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,102.46875,Filter5,4.629557874044922,2.010591438349459,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter5,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,44.2265625,Filter5,3.7893255701170427,1.6456831852367255,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter5,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,97.84375,Filter6,4.583371818526679,1.9905330892970092,6.907755278982137,3.0
1000,AnnData Not-Backed,76.375,Filter6,4.335655417491759,1.8829512232506107,6.907755278982137,3.0
1000,AnnSql On-Disk,40.75,Filter6,3.7074558396868715,1.6101276130759954,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter6,-inf,-inf,6.907755278982137,3.0
5000,AnnSql In-Memory,721.3515625,Filter1,6.581126622466929,2.8581469768439725,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,383.25,Filter1,5.948687517751924,2.583482163526413,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,44.58984375,Filter1,3.7975061144843334,1.6492359505144045,8.517193191416238,3.6989700043360187
