size,method,memory,filter_type,memory_log,memory_log10,size_log,size_log10
1000,AnnSql In-Memory,112.81640625,Filter1,4.725761773966513,2.0523722612229793,6.907755278982137,3.0
1000,AnnData Not-Backed,76.0,Filter1,4.330733340286331,1.8808135922807914,6.907755278982137,3.0
1000,AnnSql On-Disk,40.18359375,Filter1,3.6934587966514676,1.604048774522757,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter1,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,112.19140625,Filter2,4.720206397017937,2.04995959166932,6.907755278982137,3.0
1000,AnnData Not-Backed,76.125,Filter2,4.332376726030061,1.8815273056409318,6.907755278982137,3.0
1000,AnnSql On-Disk,37.75,Filter2,3.6309854756950335,1.576916955965207,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter2,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,96.19140625,Filter3,4.566340021560727,1.9831362738577998,6.907755278982137,3.0
1000,AnnData Not-Backed,76.0,Filter3,4.330733340286331,1.8808135922807914,6.907755278982137,3.0
1000,AnnSql On-Disk,41.375,Filter3,3.722676833697227,1.616738006783775,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter3,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,102.94140625,Filter4,4.634159955001709,2.012590096714264,6.907755278982137,3.0
1000,AnnData Not-Backed,76.0,Filter4,4.330733340286331,1.8808135922807914,6.907755278982137,3.0
1000,AnnSql On-Disk,43.515625,Filter4,3.7731200690017124,1.6386452255258606,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter4,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,105.94140625,Filter5,4.662886170051314,2.025065733396273,6.907755278982137,3.0
1000,AnnData Not-Backed,76.0,Filter5,4.330733340286331,1.8808135922807914,6.907755278982137,3.0
1000,AnnSql On-Disk,38.25,Filter5,3.644143560272545,1.5826314394896364,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter5,-inf,-inf,6.907755278982137,3.0
1000,AnnSql In-Memory,98.19140625,Filter6,4.586918698801834,1.9920734798284803,6.907755278982137,3.0
1000,AnnData Not-Backed,76.0,Filter6,4.330733340286331,1.8808135922807914,6.907755278982137,3.0
1000,AnnSql On-Disk,41.375,Filter6,3.722676833697227,1.616738006783775,6.907755278982137,3.0
1000,AnnData Backed,0.0,Filter6,-inf,-inf,6.907755278982137,3.0
5000,AnnSql In-Memory,721.97265625,Filter1,6.581987265945738,2.8585207495577056,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.75,Filter1,5.947382034537793,2.582915199370299,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,36.75,Filter1,3.6041382256588457,1.5652573434202137,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter1,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,717.16015625,Filter2,6.575299185600481,2.8556161531692346,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.6328125,Filter2,5.947075815221128,2.5827822100108184,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,43.70703125,Filter2,3.777508987328159,1.6405513085365602,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter2,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,721.66015625,Filter3,6.5815543303652015,2.8583327280240587,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.625,Filter3,5.947055397265577,2.582773342605391,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,43.58984375,Filter3,3.7748241817061388,1.639385312269934,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter3,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,721.66015625,Filter4,6.5815543303652015,2.8583327280240587,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.625,Filter4,5.947055397265577,2.582773342605391,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,43.55859375,Filter4,3.7741070144857995,1.6390738505035387,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter4,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,721.91015625,Filter5,6.58190069382299,2.8584831517625093,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,403.2578125,Filter5,5.999576090655218,2.605582789930245,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,43.81640625,Filter5,3.780008319165661,1.6416367545620325,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter5,-inf,-inf,8.517193191416238,3.6989700043360187
5000,AnnSql In-Memory,703.66015625,Filter6,6.556295507005719,2.8473629604196664,8.517193191416238,3.6989700043360187
5000,AnnData Not-Backed,382.5,Filter6,5.94672865326659,2.5826314394896364,8.517193191416238,3.6989700043360187
5000,AnnSql On-Disk,43.75390625,Filter6,3.778580894532177,1.6410168319203775,8.517193191416238,3.6989700043360187
5000,AnnData Backed,0.0,Filter6,-inf,-inf,8.517193191416238,3.6989700043360187
10000,AnnSql In-Memory,800.859375,Filter1,6.68568536985783,2.903556263870557,9.210340371976184,4.0
10000,AnnData Not-Backed,764.875,Filter1,6.639712421782704,2.883590466204705,9.210340371976184,4.0
10000,AnnSql On-Disk,40.875,Filter1,3.7105186292174173,1.6114577656683424,9.210340371976184,4.0
10000,AnnData Backed,0.375,Filter1,-0.9808292530117262,-0.42596873227228116,9.210340371976184,4.0
10000,AnnSql In-Memory,1095.18359375,Filter2,6.998677293721422,3.0394869292847977,9.210340371976184,4.0
10000,AnnData Not-Backed,764.625,Filter2,6.6393855175627285,2.883448493505859,9.210340371976184,4.0
10000,AnnSql On-Disk,43.68359375,Filter2,3.776972602548626,1.6403183595866322,9.210340371976184,4.0
10000,AnnData Backed,0.0,Filter2,-inf,-inf,9.210340371976184,4.0
10000,AnnSql In-Memory,797.609375,Filter3,6.681618972590587,2.9017902499761665,9.210340371976184,4.0
10000,AnnData Not-Backed,764.625,Filter3,6.6393855175627285,2.883448493505859,9.210340371976184,4.0
10000,AnnSql On-Disk,43.375,Filter3,3.769883238267023,1.63723948779893,9.210340371976184,4.0
10000,AnnData Backed,0.0,Filter3,-inf,-inf,9.210340371976184,4.0
10000,AnnSql In-Memory,793.859375,Filter4,6.676906335989595,2.8997435779051406,9.210340371976184,4.0
10000,AnnData Not-Backed,764.75,Filter4,6.639548983031013,2.8835194856567163,9.210340371976184,4.0
10000,AnnSql On-Disk,42.375,Filter4,3.746558565700614,1.6271097112111386,9.210340371976184,4.0
10000,AnnData Backed,0.25,Filter4,-1.3862943611198906,-0.6020599913279624,9.210340371976184,4.0
10000,AnnSql In-Memory,793.734375,Filter5,6.676748864973779,2.8996751891119117,9.210340371976184,4.0
10000,AnnData Not-Backed,788.83203125,Filter5,6.6705534100324195,2.896984537217999,9.210340371976184,4.0
10000,AnnSql On-Disk,43.8203125,Filter5,3.7800974655887196,1.6416754703616483,9.210340371976184,4.0
10000,AnnData Backed,0.375,Filter5,-0.9808292530117262,-0.42596873227228116,9.210340371976184,4.0
10000,AnnSql In-Memory,784.484375,Filter6,6.6650266548300605,2.8945842979307845,9.210340371976184,4.0
10000,AnnData Not-Backed,764.375,Filter6,6.639058506441437,2.8833064743803605,9.210340371976184,4.0
