size,method,runtime,filter,runtime_log,runtime_log10,size_log,size_log10
1000,AnnSql In-Memory,0.004610300064086914,Filter1,-5.379462334268205,-2.336270807379068,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0017087459564208984,Filter1,-6.371995536324878,-2.767322500138046,6.907755278982137,3.0
1000,AnnSql On-Disk,0.01237177848815918,Filter1,-4.3923373286067635,-1.9075678644715877,6.907755278982137,3.0
1000,AnnData Backed,0.017457246780395508,Filter1,-4.048000428267196,-1.7580242487384432,6.907755278982137,3.0
1000,AnnSql In-Memory,0.004526376724243164,Filter2,-5.3978334996528945,-2.3442493031317704,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0012047290802001953,Filter2,-6.721500567026888,-2.919110606369356,6.907755278982137,3.0
1000,AnnSql On-Disk,0.12959957122802734,Filter2,-2.0433058034951506,-0.887396435298834,6.907755278982137,3.0
1000,AnnData Backed,0.024193286895751953,Filter2,-3.7216800853042566,-1.6163051244568623,6.907755278982137,3.0
1000,AnnSql In-Memory,0.004161357879638672,Filter3,-5.48191384459554,-2.3807649329768834,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0017867088317871094,Filter3,-6.327379992965164,-2.747946215849807,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1339418888092041,Filter3,-2.0103492386943023,-0.8730835810633388,6.907755278982137,3.0
1000,AnnData Backed,0.033034563064575195,Filter3,-3.4102009000271347,-1.4810314330632877,6.907755278982137,3.0
1000,AnnSql In-Memory,0.004197120666503906,Filter4,-5.473356544387815,-2.3770485447166787,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0018427371978759766,Filter4,-6.296503205211926,-2.734536597309678,6.907755278982137,3.0
1000,AnnSql On-Disk,0.1422891616821289,Filter4,-1.9498939420567012,-0.8468281793318043,6.907755278982137,3.0
1000,AnnData Backed,0.04472541809082031,Filter4,-3.1072133015970542,-1.3494455909799852,6.907755278982137,3.0
1000,AnnSql In-Memory,0.014245748519897461,Filter5,-4.251296766263418,-1.846314726521341,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0013155937194824219,Filter5,-6.633467217541566,-2.8808782084644196,6.907755278982137,3.0
1000,AnnSql On-Disk,0.13563060760498047,Filter5,-1.9978202091459825,-0.8676422926669006,6.907755278982137,3.0
1000,AnnData Backed,0.040871381759643555,Filter5,-3.197325173324562,-1.3885806796252156,6.907755278982137,3.0
1000,AnnSql In-Memory,0.0049741268157958984,Filter6,-5.303505438188923,-2.3032831465493366,6.907755278982137,3.0
1000,AnnData Not-Backed,0.0015599727630615234,Filter6,-6.463086917449058,-2.806882984309224,6.907755278982137,3.0
1000,AnnSql On-Disk,0.12673544883728027,Filter6,-2.0656534451738464,-0.8971018927634429,6.907755278982137,3.0
1000,AnnData Backed,0.010182857513427734,Filter6,-4.587049608483285,-1.9921303331807623,6.907755278982137,3.0
